date,Unnamed: 0,open,high,low,close,volume,past_ret_1h,past_ret_2h,past_ret_4h,past_ret_8h,past_ret_16h,forward regime,probability,0.6 percent prediction,1 percent prediction,1.5 percent prediction,vix,dxy
2025-04-22 13:00:00,10,3458.76,3464.28,3424.35,3430.37,152,0.0077659261245872,0.0066931555488183,0.0039849928724891,0.0158291962674581,-0.0390307751058923,downward,83.0,1.0,-1.0,-1.0,,
2025-04-22 14:00:00,11,3426.34,3448.55,3411.76,3418.57,147,0.0034517356672525,0.0112444677160332,0.0104283369947082,0.0218483166938223,-0.0299101671166598,downward,90.0,1.0,-1.0,-1.0,,
2025-04-22 15:00:00,12,3422.92,3438.58,3421.69,3429.84,152,-0.0032858675623352,0.0001545261586546,0.0068487159750891,0.0144554848039557,-0.0323105450983136,downward,97.0,1.0,-1.0,-1.0,,
2025-04-22 16:00:00,13,3429.03,3431.9,3410.58,3417.46,152,0.003622573490253,0.0003248026311939,0.0115729225799279,0.0147331643969497,-0.0294312149959325,downward,97.0,1.0,-1.0,-1.0,,
2025-04-22 17:00:00,14,3419.13,3419.13,3372.05,3392.04,145,0.0074940154007618,0.011143736512541,0.0112999846699921,0.0153300079008502,-0.0227326328698954,range,93.0,-1.0,-1.0,-1.0,,
2025-04-22 18:00:00,15,3394.17,3409.68,3387.18,3402.62,151,-0.0031093686629714,0.0043613450811434,0.0046875642886952,0.0151647847834903,-0.0257713173965944,downward,,,,,,
2025-04-22 19:00:00,16,3402.26,3402.26,3374.06,3381.95,154,0.0061118585431481,0.00298348585875,0.0141604695515902,0.0211061665607119,0.0275432812430698,downward,95.0,1.0,-1.0,-1.0,,
2025-04-22 20:00:00,17,3381.04,3385.47,3367.54,3374.82,153,0.0021127052702067,0.0082374763691099,0.0126347479272967,0.0243538914668042,0.0333202956009506,downward,,,,,,
2025-04-22 21:00:00,18,3375.59,3382.44,3374.13,3381.16,156,-0.0018750961208577,0.0002336476238924,0.0032178305670242,0.0145541766730945,0.0306137538596222,downward,,,,,,
2025-04-22 22:00:00,19,3381.16,3381.24,3381.16,3381.24,2,-2.3659959068278447e-05,-0.0018987117152285,0.0063231240609953,0.011040328400232,0.0331298576853462,downward,,,,,,
2025-04-22 23:00:00,20,3322.68,3381.16,3317.94,3325.97,151,0.0166177085181165,0.016593655384745,0.0168311800767897,0.0312299870413745,0.0461369164484346,upward,,,,,,
2025-04-23 00:00:00,21,3326.66,3348.94,3326.66,3335.75,157,-0.0029318743910665,0.0136371130930075,0.0117125084313873,0.0244952409503109,0.0395892977591245,upward,,,,,28.45,123.0252
2025-04-23 01:00:00,22,3336.78,3368.57,3334.74,3367.46,156,-0.0094165929216679,-0.0123208590450963,0.00406834825061,0.0072992700729925,0.0227411758417324,downward,,,,,28.45,123.0252
2025-04-23 02:00:00,23,3372.24,3385.47,3360.56,3378.43,154,-0.0032470703847644,-0.012633086966431,0.0008317472909014,0.0071601305932045,0.0224334972161626,downward,,,,,28.45,123.0252
2025-04-23 03:00:00,24,3377.76,3379.29,3350.4,3354.53,154,0.0071246940704061,0.0038544893025251,-0.0085138603619584,0.0081740213979304,0.029452710215738,downward,,,,,28.45,123.0252
2025-04-23 04:00:00,25,3354.29,3354.89,3329.37,3338.71,155,0.0047383570301104,0.0118968104447525,-0.0008865699626502,0.0108155545105745,0.0354328468180824,downward,,,,,28.45,123.0252
2025-04-23 05:00:00,26,3339.66,3346.44,3335.66,3345.83,153,-0.0021280220453518,0.0026002516565397,0.0064647636012589,0.0105594127615569,0.0252672729935472,downward,,,,,28.45,123.0252
2025-04-23 06:00:00,27,3344.84,3348.92,3316.06,3318.82,155,0.0081384347448791,0.0059930939309753,0.0179612030782023,0.0188078895511054,0.0300558632284968,downward,89.0,,,,28.45,123.0252
2025-04-23 07:00:00,28,3318.47,3325.42,3292.56,3301.53,151,0.0052369658915714,0.0134180213416204,0.016053163230381,0.0074026284783115,0.0388637995111358,upward,87.0,1.0,-1.0,1.0,28.45,123.0252
2025-04-23 08:00:00,29,3302.26,3319.68,3301.19,3319.2,149,-0.0053235719450468,-0.0001144854181729,0.0058779223909375,0.0049861412388527,0.0296035189202217,range,,,,,28.45,123.0252
2025-04-23 09:00:00,30,3318.83,3321.18,3305.86,3321.18,150,-0.0005961736491246,-0.0059165718208586,0.0074220608338,0.0139348063037836,0.0213357902914024,range,87.0,1.0,-1.0,1.0,28.45,123.0252
2025-04-23 10:00:00,31,3320.96,3339.58,3317.32,3317.33,152,0.0011605719057192,0.0005637063542065,0.0004491563998758,0.0184184268673903,0.0257104358022868,downward,,,,,28.45,123.0252
2025-04-23 11:00:00,32,3319.08,3335.26,3316.74,3329.78,154,-0.003738985758819,-0.0025827532149271,-0.0084840439908943,0.0074329234964471,0.0156677017700868,downward,,,,,28.45,123.0252
2025-04-23 12:00:00,33,3327.16,3338.58,3322.51,3325.75,148,0.0012117567465985,-0.0025317597534391,-0.0019694805682929,0.0038968653687139,0.014754566639104,downward,,,,,28.45,123.0252
2025-04-23 13:00:00,34,3324.49,3332.3,3311.99,3312.25,155,0.0040757793040984,0.0052924749037663,0.0026960525322665,0.0101381236319721,0.0208045890255867,downward,,,,,28.45,123.0252
2025-04-23 14:00:00,35,3309.52,3312.62,3272.18,3276.44,144,0.0109295454822917,0.01504987120167,0.012480008790028,0.0129347706657225,0.0319859359548777,range,,,,,28.45,123.0252
2025-04-23 15:00:00,36,3275.36,3295.53,3256.16,3287.81,149,-0.0034582290339161,0.0074335195768611,0.0127653361964348,0.0041729905316914,0.0116065101085525,range,,,,,28.45,123.0252
